heading_error_deg,angular_error_deg,lat_error,pursuit_control_deg,stanley_control_deg,steer_angle_deg,preview_dist,preview_idx,closest_idx,target_east,target_north,target_yaw_deg,closest_east,closest_north,closest_yaw_deg,cur_east,cur_north,cur_yaw_deg,cur_spd
-5.26901,-13.7071,0.381038,-9.41062,82.3473,45.6441,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26722,-1.67894,-17.276,0.00316228
-5.26901,-13.7071,0.381038,-9.41062,82.3473,45.6441,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26722,-1.67894,-17.276,0.00316228
-5.26901,-13.7071,0.381038,-9.41062,82.3473,45.6441,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26722,-1.67894,-17.276,0.00316228
-5.267,-13.7048,0.381032,-9.4091,82.3493,45.6459,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26728,-1.67888,-17.278,0.00316228
-5.267,-13.7048,0.381032,-9.4091,82.3493,45.6459,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26728,-1.67888,-17.278,0.00316228
-5.267,-13.7048,0.381032,-9.4091,82.3493,45.6459,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26728,-1.67888,-17.278,0.00316228
-5.267,-13.7048,0.381032,-9.4091,82.3493,45.6459,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26728,-1.67888,-17.278,0.00316228
-5.267,-13.7048,0.381032,-9.4091,82.3493,45.6459,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26728,-1.67888,-17.278,0.00316228
-5.26801,-13.7068,0.380983,-9.41048,82.348,45.6446,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26717,-1.6789,-17.277,0.00316228
-5.26801,-13.7068,0.380983,-9.41048,82.348,45.6446,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26717,-1.6789,-17.277,0.00316228
-5.26801,-13.7068,0.380983,-9.41048,82.348,45.6446,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26717,-1.6789,-17.277,0.00316228
-5.26801,-13.7068,0.380983,-9.41048,82.348,45.6446,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26717,-1.6789,-17.277,0.00316228
-5.26801,-13.7068,0.380983,-9.41048,82.348,45.6446,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26717,-1.6789,-17.277,0.00316228
-5.267,-13.7043,0.380998,-9.41093,83.0446,46.0624,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26741,-1.67873,-17.278,0.00223607
