east,north,yaw
158.42157909,0.71228108,-19.83203803
158.51617496,0.67847324,-19.85748609
158.61098714,0.64453504,-19.88377248
158.70596905,0.61048331,-19.91344945
158.80107411,0.57633490,-19.94999487
158.89625573,0.54210663,-20.00044214
158.99142851,0.50782856,-20.05407209
159.08660405,0.47349882,-20.09633388
159.18173596,0.43913313,-20.13745191
159.27678479,0.40474509,-20.17737312
159.37173329,0.37034055,-20.21604960
159.46662035,0.33590545,-20.25343620
159.56148718,0.30144739,-20.28949122
159.65629796,0.26693727,-20.32417776
159.75104754,0.23236415,-20.35745981
159.84573764,0.19773550,-20.38930202
159.94037449,0.16307071,-20.41967085
160.03496733,0.12839711,-20.44853462
160.12952455,0.09373956,-20.47586179
160.22405412,0.05912179,-20.50162150
160.31856192,0.02456184,-20.52578457
160.41305092,-0.00993016,-20.54832189
160.50752053,-0.04435353,-20.56920567
160.60194799,-0.07876729,-20.58840977
160.69632470,-0.11319242,-20.60591090
160.79064294,-0.14764786,-20.62169280
160.88489582,-0.18215064,-20.63574410
160.97908543,-0.21669441,-20.64805890
161.07319298,-0.25132843,-20.65863706
161.16721012,-0.28607474,-20.66748281
161.26112952,-0.32095287,-20.67460402
161.35494883,-0.35596961,-20.68001205
161.44867191,-0.39111550,-20.68372174
161.54231969,-0.42633632,-20.68574967
161.63589301,-0.46163131,-20.68611842
161.72939427,-0.49699605,-20.68485515
161.82282729,-0.53242269,-20.68198991
161.91619721,-0.56790022,-20.67755813
162.00948998,-0.60346878,-20.67159728
162.10270744,-0.63912635,-20.66414600
162.19584979,-0.67487535,-20.65524336
162.28892387,-0.71070041,-20.64492451
162.38194409,-0.74656598,-20.63322104
162.47493210,-0.78241700,-20.62016109
162.56788721,-0.81825743,-20.60576995
162.66081778,-0.85406708,-20.59007242
162.75373277,-0.88982407,-20.57309407
162.84664166,-0.92550511,-20.55486027
162.93956707,-0.96105152,-20.53539700
163.03251026,-0.99646196,-20.51473269
163.12546920,-1.03174388,-20.49289601
163.21843918,-1.06691198,-20.46991684
163.31141378,-1.10198577,-20.44582745
163.40438586,-1.13698671,-20.42066187
163.49734902,-1.17193450,-20.39445488
