longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37733457,31.96348056,41.619,34.863,2.718,41.619,21.676,-0.491,-0.551,0.126,-0.117,-0.046,-0.001,0.060,-0.298,9.910,-0.022,-0.025,0.438,4
117.37733436,31.96347963,41.615,34.759,2.698,41.615,21.523,-0.504,-0.553,0.189,-0.176,-0.069,-0.001,0.071,-0.167,9.880,-0.021,0.224,0.599,4
117.37733386,31.96347841,41.617,34.624,2.651,41.617,21.356,-0.507,-0.526,0.286,-0.266,-0.104,-0.001,0.013,-0.030,9.827,-0.033,-0.101,0.650,4
117.37733341,31.96347752,41.618,34.526,2.609,41.618,21.232,-0.499,-0.554,0.340,-0.317,-0.123,-0.002,0.023,0.008,9.823,-0.122,-0.062,0.475,4
117.37733289,31.96347660,41.619,34.424,2.559,41.619,21.123,-0.497,-0.573,0.377,-0.352,-0.136,-0.002,0.061,0.070,9.864,-0.158,0.025,0.638,4
117.37733234,31.96347569,41.620,34.322,2.507,41.620,20.996,-0.487,-0.559,0.408,-0.381,-0.146,-0.002,0.031,0.032,9.826,-0.034,0.112,0.612,4
117.37733178,31.96347477,41.621,34.221,2.454,41.621,20.882,-0.465,-0.551,0.437,-0.408,-0.156,-0.002,0.033,0.050,9.858,-0.009,-0.013,0.550,4
117.37733122,31.96347387,41.621,34.121,2.401,41.621,20.770,-0.447,-0.560,0.453,-0.424,-0.160,-0.002,0.045,0.102,9.846,-0.047,-0.000,0.550,4
117.37733067,31.96347299,41.621,34.024,2.349,41.621,20.667,-0.437,-0.576,0.469,-0.439,-0.165,-0.003,0.055,0.080,9.778,0.041,-0.101,0.500,4
117.37733014,31.96347214,41.621,33.929,2.299,41.621,20.566,-0.426,-0.592,0.475,-0.445,-0.167,-0.003,0.065,0.024,9.749,-0.109,-0.050,0.525,4
117.37732967,31.96347131,41.620,33.837,2.254,41.620,20.463,-0.406,-0.600,0.476,-0.446,-0.166,-0.003,0.036,-0.108,9.765,-0.034,-0.038,0.488,4
