longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status,,east,north
117.3777107,31.96350589,41.627,37.5052732,38.24621313,41.627,-69.31094642,-0.658,-0.547,0.152,0.04,-0.147,0,0.081,-1.208,9.769,-0.037,0.363,0.112,4,,38.24621313,37.5052732
117.3777097,31.96350573,41.62963372,37.54059471,38.15268343,41.62963372,-69.37842265,-0.68087448,-0.51538484,0.2584922,0.06904253,-0.24909218,0,0.0572319,-0.96588055,9.83771947,-0.13521744,0.37299024,0.19965986,4,,38.15268343,37.54059471
117.3777086,31.96350565,41.62999757,37.57569168,38.05908179,41.62999757,-69.51244592,-0.6987945,-0.50783455,0.3531912,0.09463044,-0.34002709,0,0.03464172,-0.72288471,9.91989465,-0.11696004,0.21097786,0.17216825,4,,38.05908179,37.57569168
117.3777076,31.96350572,41.62978476,37.61056729,37.96540925,41.62978476,-69.644593,-0.71864599,-0.50265698,0.44063544,0.11822573,-0.42421555,0,0.03868252,-0.47491694,9.93000818,-0.19402532,0.13574605,0.09719565,4,,37.96540925,37.61056729
117.3777065,31.96350585,41.62885063,37.64522469,37.87166684,41.62885063,-69.77486132,-0.75084986,-0.49376631,0.51127907,0.13729356,-0.4928267,-0.00000098,0.11877541,-0.28039562,9.7365932,-0.56079483,0.33809879,-0.02314295,4,,37.87166684,37.64522469
117.3777055,31.96350591,41.62791846,37.67966706,37.77785557,41.62791846,-69.90324843,-0.79863043,-0.49418869,0.58742508,0.15770681,-0.56618047,-0.0000871,0.12473607,-0.42851463,9.78856431,-0.42264739,-0.03047328,0.14039651,4,,37.77785557,37.67966706
117.3777045,31.96350614,41.62715581,37.71389755,37.68397647,41.62715581,-70.02975201,-0.83339402,-0.51380155,0.64869195,0.17399406,-0.62512136,-0.00084419,0.11425733,-0.26924213,9.74511289,-0.3962236,-0.22127517,0.27880543,4,,37.68397647,37.71389755
117.3777034,31.96350629,41.62699214,37.74791933,37.59003057,41.62699214,-70.15436989,-0.86080588,-0.55323792,0.71225747,0.19089539,-0.6862685,-0.00100786,0.11549161,-0.20230168,9.74232772,-0.09941537,-0.22047805,0.05922214,4,,37.59003057,37.74791933
117.3777024,31.96350651,41.62657898,37.78173557,37.4960189,41.62657898,-70.27709999,-0.86747723,-0.58281442,0.7665154,0.20550481,-0.7382651,-0.00142102,0.09749032,-0.08653588,9.84709359,-0.0657401,-0.18885204,-0.0724069,4,,37.4960189,37.78173557
117.3777014,31.96350678,41.62586215,37.81534944,37.40194249,41.62586215,-70.39794036,-0.86911698,-0.603597,0.81323535,0.21819372,-0.78296559,-0.00213785,0.08670052,0.03070338,9.94762081,-0.27748557,-0.15229954,-0.05789656,4,,37.40194249,37.81534944
117.3777003,31.96350698,41.62510403,37.8487641,37.30780235,41.62510403,-70.51688916,-0.91044347,-0.6329829,0.85859826,0.23030001,-0.8268063,-0.00287813,0.17934941,-0.08301872,9.71188487,-0.47775239,-0.03724011,0.02477988,4,,37.30780235,37.8487641
117.3776993,31.96350728,41.62443443,37.88198271,37.21359952,41.62443443,-70.63394468,-0.92562217,-0.63360459,0.89479768,0.24017865,-0.86163142,-0.00299867,0.16074137,-0.05118747,9.74099483,-0.13313877,0.07847584,0.05332586,4,,37.21359952,37.88198271
117.3776983,31.96350758,41.6242845,37.91500845,37.11933502,41.6242845,-70.74910528,-0.93387821,-0.63842183,0.93221921,0.25039755,-0.8976708,-0.003,0.10154656,0.01067831,9.81915024,0.01335411,-0.00600151,0.11467432,4,,37.11933502,37.91500845
117.3776973,31.96350783,41.62499292,37.94784447,37.02500987,41.62499292,-70.86236947,-0.93976001,-0.65998991,0.97440502,0.26181077,-0.93841918,-0.0030253,0.01324616,0.07232658,9.88884302,-0.34215318,-0.4074768,0.24169195,4,,37.02500987,37.94784447
117.3776963,31.96350816,41.62565465,37.98049394,36.93062511,41.62565465,-70.9737358,-0.96397184,-0.68461445,1.00885444,0.27046984,-0.97155838,-0.00365497,0.01417831,0.05670681,9.84507336,-0.32631636,-0.20288624,0.1677645,4,,36.93062511,37.98049394
117.3776953,31.96350847,41.62633402,38.01296004,36.83618176,41.62633402,-71.08320297,-0.97643155,-0.70390412,1.03961976,0.27832439,-1.00129061,-0.00433343,0.07854475,0.0458538,9.75382779,-0.05851115,-0.05990912,0.06655253,4,,36.83618176,38.01296004
117.3776943,31.96350876,41.62703505,38.04524592,36.74168084,41.62703505,-71.19076974,-0.97216884,-0.71582969,1.06597545,0.28526139,-1.02694041,-0.00499054,0.20013588,0.04843597,9.6323573,0.43627338,-0.03069321,-0.03775314,4,,36.74168084,38.04524592
117.3776933,31.96350909,41.62769863,38.07735474,36.64712339,41.62769863,-71.29643497,-0.94508403,-0.71685341,1.0861724,0.29064242,-1.04647377,-0.00501778,0.12965439,0.09648357,9.7951889,0.18885344,-0.08496992,0.11250589,4,,36.64712339,38.07735474
117.3776924,31.9635094,41.62838627,38.10928969,36.55251042,41.62838627,-71.4001976,-0.92527228,-0.73447592,1.11102887,0.29719902,-1.07064526,-0.00538296,0.08584133,0.10199211,9.90106152,0.19421892,-0.27598336,0.19596564,4,,36.55251042,38.10928969
117.3776913,31.96350969,41.62924988,38.14105392,36.45784297,41.62924988,-71.50205665,-0.91313376,-0.76656938,1.13936709,0.30467349,-1.09820368,-0.00599048,0.07502337,0.09060184,9.9507887,0.3356595,-0.50385314,0.18556507,4,,36.45784297,38.14105392
117.3776904,31.96351003,41.63122943,38.17265059,36.36312206,41.63122943,-71.60201123,-0.90729841,-0.78943889,1.16039223,0.31057407,-1.11795163,-0.00602285,0.10596018,0.23769298,9.99114088,-0.30152044,-0.0959346,-0.01768702,4,,36.36312206,38.17265059
117.3776894,31.96351035,41.63327963,38.20408288,36.26834871,41.63327963,-71.7000605,-0.93826451,-0.80300065,1.17534744,0.31468825,-1.13235618,-0.00642304,0.17587481,0.1800224,9.75474035,-0.52785983,0.02657537,-0.05130239,4,,36.26834871,38.20408288
