longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37896543,31.96336063,40.69300000,21.55389398,156.92616990,40.69100000,-163.54038429,0.34500000,1.71900000,0.17100000,-0.16600000,-0.04300000,-0.00500000,-0.01800000,1.13100000,9.86700000,-0.42500000,-0.22300000,-0.11200000,4
117.37896528,31.96335973,40.69498244,21.45804094,156.89785041,40.69298244,-163.53286175,0.34402495,1.70218002,0.26908242,-0.26012067,-0.06776958,-0.00797210,-0.01398711,0.93096319,9.80968762,-0.17953821,-0.08731376,-0.27318345,4
117.37896508,31.96335884,40.69721513,21.36219478,156.86950559,40.69521513,-163.51815958,0.35431044,1.70497011,0.34515900,-0.33394727,-0.08789420,-0.01021059,0.02421388,0.83991768,9.87076638,-0.15815547,-0.01284885,-0.18320447,4
117.37896485,31.96335797,40.70082882,21.26635518,156.84113658,40.69882882,-163.50414313,0.36163771,1.71569839,0.41280840,-0.39919224,-0.10550505,-0.01221217,0.02223580,0.78700963,9.88044177,-0.25233619,0.12487238,-0.21099655,4
117.37896461,31.96335709,40.70526116,21.17052181,156.81274454,40.70326116,-163.49081237,0.36760151,1.73073076,0.47529375,-0.45921561,-0.12157334,-0.01407826,-0.00285543,0.75956865,9.85346386,-0.38426335,0.28200478,-0.29833700,4
117.37896434,31.96335621,40.71086998,21.07469435,156.78433063,40.70886998,-163.47816729,0.38058372,1.74639912,0.52466753,-0.50690598,-0.13391805,-0.01576061,-0.04256301,0.83598599,9.67130958,-0.00665285,0.11149320,-0.24177567,4
117.37896406,31.96335534,40.71611369,20.97887248,156.75589598,40.71411369,-163.46620788,0.40491330,1.75562544,0.57255705,-0.55313929,-0.14606353,-0.01727835,-0.06292683,0.93017662,9.59976372,0.13099425,-0.05675000,-0.19806460,4
117.37896376,31.96335447,40.72032592,20.88305588,156.72744176,40.71832592,-163.45493411,0.46098657,1.74659508,0.61627573,-0.59527853,-0.15765112,-0.01833148,-0.02892108,1.07352925,9.83939023,-0.40599808,-0.21726247,-0.19080583,4
117.37896348,31.96335360,40.72439746,20.78724422,156.69896912,40.72239746,-163.44434598,0.48893058,1.72858571,0.66059734,-0.63807331,-0.16936770,-0.01934935,-0.01663423,1.11836533,9.98065462,-0.67224023,-0.25359375,-0.19719666,4
117.37896321,31.96335274,40.72821976,20.69143718,156.67047920,40.72621976,-163.43444346,0.46702328,1.69481805,0.70596054,-0.68200455,-0.18130749,-0.02030495,-0.04291271,0.98899068,9.94704064,-0.45906475,-0.07012973,-0.22727847,4
117.37896294,31.96335187,40.73198931,20.59563444,156.64197316,40.72998931,-163.42522654,0.44851807,1.67377574,0.74866984,-0.72342044,-0.19272524,-0.02124976,-0.07098340,0.90034456,9.88983544,-0.33610968,0.08285570,-0.21643199,4
