east,north,yaw
-8.76874852,3.41320100,71.03502503
-8.73643249,3.50730715,71.06233534
-8.70429077,3.60118280,71.09076102
-8.67230647,3.69487502,71.12311476
-8.64046267,3.78843087,71.16328281
-8.60874245,3.88189744,71.21915696
-8.57711468,3.97536269,71.27954077
-8.54558426,4.06881187,71.32860723
-8.51413397,4.16229217,71.37744087
-8.48274884,4.25584446,71.42604166
-8.45142194,4.34948648,71.47441018
-8.42016708,4.44317529,71.52254607
-8.38899652,4.53687243,71.57044879
-8.35790204,4.63060047,71.61811833
-8.32688319,4.72435922,71.66555514
-8.29593959,4.81814853,71.71275897
-8.26507107,4.91196832,71.75973008
-8.23427798,5.00581866,71.80646872
-8.20355958,5.09969928,71.85297428
-8.17291550,5.19361002,71.89924676
-8.14234536,5.28755073,71.94528682
-8.11184877,5.38152125,71.99109430
-8.08142541,5.47552144,72.03666829
-8.05107494,5.56955116,72.08200884
-8.02079694,5.66361024,72.12711647
-7.99059108,5.75769853,72.17199111
-7.96045700,5.85181589,72.21663265
-7.93039430,5.94596214,72.26104123
-7.90040266,6.04013715,72.30521706
-7.87048169,6.13434075,72.34916034
-7.84063103,6.22857280,72.39287064
-7.81085026,6.32283312,72.43634748
-7.78113912,6.41712161,72.47959099
-7.75149718,6.51143807,72.52260197
-7.72192409,6.60578238,72.56537975
-7.69239864,6.70014792,72.60792420
-7.66297440,6.79455123,72.65023565
-7.63363778,6.88898804,72.69231399
-7.60437519,6.98345410,72.73415959
-7.57517369,7.07794537,72.77577236
-7.54602204,7.17245721,72.81715201
-7.51691012,7.26698796,72.85829812
-7.48782980,7.36153856,72.89921186
-7.45877649,7.45610770,72.93989311
-7.42974973,7.55069258,72.98034087
-7.40075307,7.64528967,73.02004831
-7.37184512,7.73991141,73.05953897
-7.34300629,7.83454577,73.09984251
-7.31424305,7.92918969,73.14092437
-7.28556144,8.02384185,73.18268630
-7.25696652,8.11850353,73.22496584
-7.22846049,8.21318476,73.26753517
-7.20004436,8.30789791,73.31010265
-7.17172020,8.40264951,73.35230926
-7.14349016,8.49744413,73.39373043
-7.11535601,8.59228406,73.43387733
-7.08735310,8.68717933,73.47348128
-7.05943191,8.78211331,73.51312727
-7.03158308,8.87708028,73.55239434
-7.00379786,8.97207493,73.59125820
-6.97606854,9.06709413,73.62969543
-6.94838879,9.16213907,73.66768288
-6.92075608,9.25721122,73.70519775
-6.89317320,9.35231109,73.74221601
-6.86564864,9.44744180,73.77871422
-6.83819792,9.54260848,73.81466912
-6.81084512,9.63781879,73.85005775
-6.78353847,9.73305809,73.88485733
-6.75629313,9.82833142,73.91904496
-6.72910781,9.92363897,73.95259849
-6.70198121,10.01898090,73.98549637
-6.67491194,10.11435737,74.01771755
-6.64789852,10.20976847,74.04924057
-6.62093950,10.30521431,74.08004561
-6.59403335,10.40069497,74.11011304
-6.56717847,10.49621048,74.13942351
-6.54037325,10.59176087,74.16795783
-6.51361600,10.68734611,74.19569740
-6.48690502,10.78296618,74.22262601
-6.46023854,10.87862100,74.24872715
-6.43363413,10.97431587,74.27398510
-6.40705335,11.07004043,74.29838554
-6.38048062,11.16579067,74.32191398
-6.35391718,11.26156730,74.34455842
-6.32737551,11.35737411,74.36630779
-6.30087486,11.45321672,74.38715138
-6.27443696,11.54910144,74.40707985
-6.24808269,11.64503426,74.42608543
-6.22182904,11.74102004,74.44416153
-6.19568677,11.83706191,74.46130245
-6.16965869,11.93316069,74.47750445
-6.14368921,12.02930091,74.49276498
-6.11775781,12.12547688,74.50708220
-6.09184511,12.22168330,74.52045620
-6.06593279,12.31791513,74.53288916
-6.04002089,12.41417235,74.54438431
-6.01408905,12.51044921,74.55493929
-5.98806703,12.60672612,74.56455914
-5.96191645,12.70299209,74.57326482
