east,north,yaw
-5.96852616,2.45110353,71.03502503
-5.93575085,2.54609589,71.06233534
-5.90296811,2.64137380,71.09076102
-5.87019409,2.73688988,71.12311476
-5.83744497,2.83259675,71.16328281
-5.80473688,2.92844702,71.21915696
-5.77210024,3.02435238,71.27954077
-5.73952937,3.12032730,71.32860723
-5.70704074,3.21632425,71.37744087
-5.67464857,3.31230205,71.42604166
-5.64235905,3.40824264,71.47441018
-5.61015760,3.50418864,71.52254607
-5.57803122,3.60017820,71.57044879
-5.54598736,3.69618844,71.61811833
-5.51402573,3.79221920,71.66555514
-5.48214597,3.88827034,71.71275897
-5.45034746,3.98434162,71.75973008
-5.41862914,4.08043265,71.80646872
-5.38699097,4.17654339,71.85297428
-5.35543256,4.27267367,71.89924676
-5.32395356,4.36882332,71.94528682
-5.29255361,4.46499220,71.99109430
-5.26123225,4.56118012,72.03666829
-5.22998910,4.65738691,72.08200884
-5.19882379,4.75361241,72.12711647
-5.16773594,4.84985646,72.17199111
-5.13672512,4.94611889,72.21663265
-5.10579099,5.04239956,72.26104123
-5.07493312,5.13869828,72.30521706
-5.04415115,5.23501489,72.34916034
-5.01344468,5.33134924,72.39287064
-4.98281338,5.42770117,72.43634748
-4.95225676,5.52407047,72.47959099
-4.92177450,5.62045702,72.52260197
-4.89136618,5.71686064,72.56537975
-4.86105228,5.81328760,72.60792420
-4.83077847,5.90972108,72.65023565
-4.80055757,6.00616500,72.69231399
-4.77040245,6.10262331,72.73415959
-4.74032526,6.19909972,72.77577236
-4.71033652,6.29559858,72.81715201
-4.68044556,6.39212120,72.85829812
-4.65065979,6.48866634,72.89921186
-4.62098305,6.58523500,72.93989311
-4.59141503,6.68182964,72.98034087
-4.56195143,6.77845349,73.02004831
-4.53252946,6.87509288,73.05953897
-4.50317150,6.97176047,73.09984251
-4.47387384,7.06845994,73.14092437
-4.44463301,7.16519315,73.18268630
-4.41544603,7.26195925,73.22496584
-4.38631219,7.35874847,73.26753517
-4.35723104,7.45554842,73.31010265
-4.32820001,7.55235231,73.35230926
-4.29921511,7.64915492,73.39373043
-4.27027117,7.74595294,73.43387733
-4.24132770,7.84273485,73.47348128
-4.21243578,7.93951757,73.51312727
-4.18360356,8.03630640,73.55239434
-4.15483849,8.13310617,73.59125820
-4.12614693,8.22991954,73.62969543
-4.09753375,8.32674481,73.66768288
-4.06899996,8.42357999,73.70519775
-4.04054118,8.52042404,73.74221601
-4.01214722,8.61727327,73.77871422
-3.98380079,8.71412196,73.81466912
-3.95547599,8.81096187,73.85005775
-3.92722266,8.90780699,73.88485733
-3.89902364,9.00465167,73.91904496
-3.87087815,9.10149505,73.95259849
-3.84278534,9.19833628,73.98549637
-3.81474438,9.29517453,74.01771755
-3.78675447,9.39200897,74.04924057
-3.75881469,9.48883877,74.08004561
-3.73092414,9.58566311,74.11011304
-3.70308193,9.68248120,74.13942351
-3.67528711,9.77929222,74.16795783
-3.64753874,9.87609541,74.19569740
-3.61983584,9.97288998,74.22262601
-3.59217744,10.06967519,74.24872715
-3.56454317,10.16644490,74.27398510
-3.53696863,10.26320865,74.29838554
-3.50946651,10.35996955,74.32191398
-3.48203262,10.45672606,74.34455842
-3.45465150,10.55347350,74.36630779
-3.42730090,10.65020535,74.38715138
-3.39995603,10.74691443,74.40707985
-3.37259292,10.84359385,74.42608543
-3.34519149,10.94023783,74.44416153
-3.31773784,11.03684236,74.46130245
-3.29022603,11.13340568,74.47750445
-3.26270849,11.22994237,74.49276498
-3.23520258,11.32645721,74.50708220
-3.20772451,11.42295459,74.52045620
-3.18028944,11.51943864,74.53288916
-3.15289417,11.61590848,74.54438431
-3.12555594,11.71236896,74.55493929
-3.09834179,11.80883877,74.56455914
-3.07128702,11.90532802,74.57326482
-3.04439845,12.00183909,74.58108154
-3.01765864,12.09836785,74.58803868
-2.99099856,12.19489610,74.59416709
-2.96439485,12.29141821,74.59949805
-2.93781874,12.38792697,74.60406246
-2.91123891,12.48441446,74.60788814
-2.88462427,12.58087280,74.61099906
-2.85799024,12.67730695,74.61341200
-2.83138902,12.77373200,74.61515215
-2.80482990,12.87015126,74.61625484
-2.77830961,12.96656463,74.61675142
-2.75180913,13.06296777,74.61667360
-2.72529057,13.15935116,74.61605378
-2.69877407,13.25572125,74.61492498
-2.67225859,13.35207863,74.61332097
-2.64574311,13.44842393,74.61127381
-2.61922669,13.54475779,74.60881670
-2.59270845,13.64108083,74.60598201
-2.56618756,13.73739370,74.60280117
-2.53966324,13.83369704,74.59930657
-2.51313479,13.92999148,74.59552776
-2.48660154,14.02627764,74.59149467
-2.46006288,14.12255617,74.58723619
-2.43351828,14.21882765,74.58277978
-2.40696723,14.31509268,74.57815344
-2.38040929,14.41135185,74.57338226
-2.35384407,14.50760571,74.56849032
-2.32727123,14.60385479,74.56350030
-2.30069047,14.70009961,74.55843461
-2.27410153,14.79634063,74.55331341
-2.24750422,14.89257831,74.54815395
-2.22089837,14.98881306,74.54297451
-2.19428384,15.08504527,74.53778971
-2.16766055,15.18127526,74.53261207
-2.14102845,15.27750332,74.52745390
-2.11438750,15.37372972,74.52232448
-2.08773772,15.46995465,74.51723020
-2.06107912,15.56617827,74.51217669
-2.03441174,15.66240071,74.50716908
-2.00773566,15.75862204,74.50220816
-1.98105096,15.85484227,74.49729409
-1.95435772,15.95106139,74.49242574
-1.92765605,16.04727932,74.48759827
-1.90094605,16.14349591,74.48280533
-1.87422783,16.23971099,74.47803942
-1.84750149,16.33592433,74.47329132
-1.82076714,16.43213562,74.46854799
-1.79402488,16.52834453,74.46379639
-1.76727477,16.62455066,74.45902151
-1.74051690,16.72075357,74.45420554
-1.71375129,16.81695280,74.44933067
-1.68697797,16.91314784,74.44437799
-1.66019693,17.00933817,74.43932801
-1.63340812,17.10552322,74.43416047
-1.60661148,17.20170240,74.42885511
-1.57978599,17.29786926,74.42338994
-1.55296808,17.39403331,74.41774056
-1.52617473,17.49019863,74.41188261
-1.49940706,17.58636479,74.40578903
-1.47265396,17.68252795,74.39943056
-1.44586007,17.77867179,74.39277728
-1.41901535,17.87479266,74.38579857
-1.39214792,17.97089757,74.37846204
-1.36528558,18.06699339,74.37073470
-1.33845312,18.16308618,74.36258303
-1.31166980,18.25918041,74.35397155
-1.28499977,18.35529309,74.34486478
-1.25845570,18.45142684,74.33522632
-1.23202671,18.54757767,74.32501988
-1.20567503,18.64373404,74.31420764
-1.17933291,18.73987600,74.30275172
-1.15298899,18.83599934,74.29061360
-1.12664309,18.93210298,74.27775396
-1.10027988,19.02818157,74.26413494
-1.07388319,19.12422950,74.24971677
-1.04743582,19.22024087,74.23446004
-1.02088614,19.31619995,74.21832578
-0.99424061,19.41210750,74.20127489
-0.96751289,19.50796631,74.18327019
-0.94072183,19.60378068,74.16427325
-0.91388945,19.69955584,74.14424713
-0.88703764,19.79529700,74.12315589
-0.86018521,19.89100856,74.10096477
-0.83334371,19.98669289,74.07764033
-0.80651327,20.08234918,74.05314876
-0.77967739,20.17797192,74.02745902
-0.75279739,20.27354931,74.00054128
-0.72589029,20.36908543,73.97236739
-0.69895350,20.46457881,73.94291090
-0.67198430,20.56002802,73.91214633
-0.64498002,20.65543167,73.88005134
-0.61793775,20.75078838,73.84660619
-0.59085455,20.84609679,73.81179242
-0.56372737,20.94135558,73.77559368
-0.53655312,21.03656347,73.73799628
-0.50932860,21.13171921,73.69898947
-0.48205064,21.22682162,73.65856484
-0.45471588,21.32186953,73.61671637
-0.42732104,21.41686186,73.57344026
-0.39986281,21.51179760,73.52873647
-0.37233786,21.60667579,73.48260809
-0.34474283,21.70149554,73.43506167
-0.31707436,21.79625604,73.38610531
-0.28932917,21.89095655,73.33575056
-0.26150397,21.98559639,73.28401197
-0.23359548,22.08017494,73.23090525
-0.20560055,22.17469169,73.17645029
-0.17751601,22.26914614,73.12066804
-0.14933875,22.36353790,73.06358137
-0.12106579,22.45786665,73.00521718
-0.09269407,22.55213212,72.94560369
-0.06422069,22.64633409,72.88477149
-0.03564267,22.74047242,72.82275340
-0.00695721,22.83454704,72.75958454
0.02183852,22.92855793,72.69530218
0.05074726,23.02250513,72.62994451
0.07977164,23.11638878,72.56355346
0.10891427,23.21020905,72.49617312
0.13817764,23.30396622,72.42784825
0.16756411,23.39766064,72.35862660
0.19707609,23.49129267,72.28855737
0.22671569,23.58486282,72.21769151
0.25648510,23.67837160,72.14608192
0.28638618,23.77181966,72.07378183
0.31642083,23.86520765,72.00084682
0.34659076,23.95853634,71.92733312
0.37689754,24.05180653,71.85329792
0.40734261,24.14501912,71.77880074
0.43792737,24.23817500,71.70390024
0.46865299,24.33127518,71.62865643
0.49952064,24.42432066,71.55312968
0.53053123,24.51731255,71.47738062
0.56168569,24.61025194,71.40147015
0.59298466,24.70314004,71.32545950
0.62442881,24.79597807,71.24941156
0.65601860,24.88876729,71.17338796
0.68775431,24.98150907,71.09745011
0.71963620,25.07420476,71.02166129
0.75166437,25.16685575,70.94608395
0.78383873,25.25946353,70.87077913
0.81615911,25.35202956,70.79580783
0.84862513,25.44455539,70.72123067
0.88123636,25.53704255,70.64710688
0.91399201,25.62949269,70.57349607
0.94689146,25.72190739,70.50045636
0.97993370,25.81428832,70.42804333
1.01311767,25.90663717,70.35631365
1.04644222,25.99895561,70.28532192
1.07990609,26.09124533,70.21512080
1.11350783,26.18350806,70.14576117
1.14724592,26.27574549,70.07729302
1.18111869,26.36795935,70.00976412
1.21512435,26.46015136,69.94321967
1.24926101,26.55232327,69.87770523
1.28352676,26.64447677,69.81326251
1.31791936,26.73661363,69.74993182
1.35243667,26.82873553,69.68775331
